aircraft_type,oew_kg,mtow_kg,range_km,max_fuel_kg,cruise_kmph,source_url
A20N,44300,79000,6500,19160,833,https://en.wikipedia.org/wiki/Airbus_A320neo_family#Specifications
A21N,50100,97000,7400,18870,833,https://en.wikipedia.org/wiki/Airbus_A320neo_family#Specifications
A310,77400,164000,9540,47940,850,https://en.wikipedia.org/wiki/Airbus_A310#Specifications
A319,40800,75500,6940,24250,829,https://en.wikipedia.org/wiki/Airbus_A320_family#Specifications
A320,42600,78000,6100,21850,829,https://en.wikipedia.org/wiki/Airbus_A320_family#Specifications
A321,48500,93500,5900,24120,829,https://en.wikipedia.org/wiki/Airbus_A320_family#Specifications
A332,120600,242000,13450,109185,871,https://en.wikipedia.org/wiki/Airbus_A330#Specifications
A333,129400,242000,11750,109185,871,https://en.wikipedia.org/wiki/Airbus_A330#Specifications
A343,131000,276500,13500,110400,871,https://en.wikipedia.org/wiki/Airbus_A340#Specifications
A359,142400,283000,15372,110500,903,https://en.wikipedia.org/wiki/Airbus_A350#Specifications
AT76,13010,22800,1400,5000,510,https://en.wikipedia.org/wiki/ATR_72#Specifications
B38M,45070,82600,6500,20726,839,https://en.wikipedia.org/wiki/Boeing_737_MAX#Specifications
B39M,48000,88300,6100,20726,839,https://en.wikipedia.org/wiki/Boeing_737_MAX#Specifications
B737,37648,70080,5570,20900,834,https://en.wikipedia.org/wiki/Boeing_737_Next_Generation#Specifications
B738,41413,79016,5436,20900,842,https://en.wikipedia.org/wiki/Boeing_737_Next_Generation#Specifications
B739,44677,85139,5460,23830,844,https://en.wikipedia.org/wiki/Boeing_737_Next_Generation#Specifications
B752,58440,115660,7250,9230,854,https://en.wikipedia.org/wiki/Boeing_757#Specifications
B763,90000,186900,11070,73400,900,https://en.wikipedia.org/wiki/Boeing_767#Specifications
B772,138100,297550,13080,137460,892,https://en.wikipedia.org/wiki/Boeing_777#Specifications
B773,160530,299370,11165,137460,892,https://en.wikipedia.org/wiki/Boeing_777#Specifications
B77W,167829,351533,13649,145538,892,https://en.wikipedia.org/wiki/Boeing_777#Specifications
B788,120000,227900,13530,101343,903,https://en.wikipedia.org/wiki/Boeing_787_Dreamliner#Specifications
B789,129000,254700,14010,101522,903,https://en.wikipedia.org/wiki/Boeing_787_Dreamliner#Specifications
BCS1,35220,63100,6700,17600,829,https://en.wikipedia.org/wiki/Airbus_A220#Specifications
BCS3,37080,70900,6300,17600,829,https://en.wikipedia.org/wiki/Airbus_A220#Specifications
C56X,5806,9163,3441,3000,816,https://en.wikipedia.org/wiki/Cessna_Citation_Excel#Specifications_(Citation_XLS+)
CRJ9,21845,38330,2871,8888,829,https://en.wikipedia.org/wiki/Bombardier_CRJ700_series#Specifications
E190,27837,51800,4537,12971,829,https://en.wikipedia.org/wiki/Embraer_E-Jet_family#Specifications
E195,28667,52290,4260,12971,829,https://en.wikipedia.org/wiki/Embraer_E-Jet_family#Specifications
E290,33000,56400,5280,13690,833,https://en.wikipedia.org/wiki/Embraer_E-Jet_E2_family#Specifications
